Area Code;Area;Item Code;Item;Element Code;Element;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
5000;World;6815;Transport;7230;N2O emissions;kilotonnes;17,583641;17,569364;17,971983;18,047723;18,107197;18,718982;19,173815;19,270426;19,384879;19,741557;20,82441;20,543136;20,644191;20,664121;21,073414;21,118614;21,438712;21,540885;20,809864;19,846983;20,241894;20,850664;20,863757;21,219347;21,396011;21,816387;22,089709;22,292211;22,463574;22,551522
5100;Africa;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;12293,12776;12876,2371;13453,89103;13388,27469;13454,83942;14439,07974;15046,38828;15900,9438;15585,96031;16854,44692;17202,17998;17840,57746;19062,33837;19943,55257;20946,72593;21009,98259;21644,03754;22827,97914;24489,54317;25643,8603;27856,05263;28311,84749;30406,64827;34272,28269;35959,72876;36384,06457;37939,58812;38181,88123;40316,62555;38023,04553
5100;Africa;6815;Transport;7273;CO2 emissions;kilotonnes;12137,61361;12716,5064;13284,86444;13211,56191;13276,75546;14250,34819;14855,78034;15697,14709;15389,7473;16634,8998;16982,538;17613,12745;18819,14795;19695,08565;20691,5752;20755,04925;21387,83545;22564,45345;24213,16315;25358,2273;27551,19632;28001,43396;30067,91246;33886,41166;35552,08863;35965,65665;37503,11745;37751,88061;39850,83191;37596,04125
5100;Africa;6815;Transport;7225;CH4 emissions;kilotonnes;2,639392;2,75827;2,852355;2,800868;2,823867;3,034931;3,022344;3,134192;2,918656;3,113755;3,074071;3,177568;3,382235;3,410823;3,488448;3,470787;3,455215;3,502179;3,727676;3,776457;3,927924;3,987457;4,349115;5,03877;5,304401;5,338755;5,661074;5,68946;6,277419;5,413022
5100;Africa;6815;Transport;7230;N2O emissions;kilotonnes;0,307967;0,311317;0,336455;0,3709;0,373644;0,391523;0,399933;0,437884;0,43204;0,499479;0,50403;0,522559;0,560331;0,577222;0,594242;0,595288;0,601721;0,624395;0,649076;0,678839;0,735375;0,750056;0,818719;0,923719;0,9778;1,014803;1,048908;1,021493;1,094437;1,039395
5101;Eastern Africa;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;1246,313357;1270,880387;1288,108789;1276,445442;1250,901374;1388,229155;1448,86734;1479,193217;1552,68166;1689,717656;1659,007165;1723,729685;1790,627573;1814,22393;1902,580633;1939,030922;2014,201717;1999,025406;2062,579693;2221,447185;2490,502893;2664,138961;2941,044637;3251,201157;3416,54089;3774,375925;4108,336461;4156,014075;4413,87;3789,777352
5101;Eastern Africa;6815;Transport;7273;CO2 emissions;kilotonnes;1226,898965;1253,972444;1269,011215;1258,495997;1233,285271;1370,893687;1431,333232;1461,18601;1534,216473;1668,1256;1638,9948;1703,527;1769,8415;1793,5039;1881,5777;1917,9984;1992,8309;1979,32875;2042,7908;2200,334;2465,545045;2635,83911;2909,599585;3216,203245;3378,39006;3729,982818;4061,00797;4111,12781;4366,079765;3749,954057
5101;Eastern Africa;6815;Transport;7225;CH4 emissions;kilotonnes;0,243368;0,255495;0,251144;0,247731;0,255146;0,288002;0,285457;0,286727;0,290681;0,299092;0,286912;0,290094;0,290013;0,287744;0,293375;0,289681;0,294995;0,2903;0,29396;0,314823;0,362811;0,410605;0,455965;0,512328;0,559448;0,650657;0,708763;0,707544;0,749327;0,597827
5101;Eastern Africa;6815;Transport;7230;N2O emissions;kilotonnes;0,047547;0,036808;0,04553;0,041558;0,039517;0,034987;0,036005;0,037656;0,038967;0,049877;0,045203;0,045585;0,047795;0,047786;0,048258;0,04876;0,049475;0,043654;0,043615;0,046408;0,055846;0,063407;0,070483;0,077935;0,084854;0,098773;0,10371;0,094623;0,101166;0,08711
5102;Middle Africa;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;486,576125;500,848001;473,847397;487,416978;504,982327;466,399003;449,484902;464,527786;458,190257;464,44228;531,619259;548,160501;605,196987;663,645216;778,896953;727,778946;826,602123;953,595456;1119,719358;1258,372914;1417,469778;1584,991279;1616,846482;1912,037285;2095,881429;1864,693717;1760,26988;1621,816431;1604,819665;1866,112556
5102;Middle Africa;6815;Transport;7273;CO2 emissions;kilotonnes;481,117057;495,626101;468,791298;482,102881;499,499759;461,166858;444,346441;459,264561;452,901026;459,1159;526,0993;542,4783;599,2213;657,23435;770,1075;719,7605;817,2995;942,74;1107,1574;1244,4199;1401,867103;1567,785455;1594,78358;1888,106036;2069,278675;1840,521195;1738,89578;1605,511395;1588,693939;1844,236526
